Player_Name,Position,Height(CM),Weight(KG),Appearance,Substitute(Appearance),Playtime(Minutes),Goals,Assists,Yellow_Cards,Red_Cards,Set_Piece_Goal,Passing_Percentage,AerialsWon,Man_Of_The_Matches,Team,Tournament,Rating
Kevin De Bruyne ,Midfielder,181,68,28,4,2425,7,16,1,0,2,80.8,0.4,9,Manchester City,Premier League,7.58
Stefan Ortega ,Goalkeeper,185,88,3,0,270,0,0,0,0,0,85.4,0.3,1,Manchester City,Premier League,7.56
Erling Haaland ,Forward,194,88,33,2,2779,36,8,5,0,3.5,74.8,1.4,6,Manchester City,Premier League,7.54
Jack Grealish ,Attaking Midfielder,175,76,23,5,2064,5,7,4,0,1.5,87.6,0.5,3,Manchester City,Premier League,7.33
Rodri ,Defender,190,82,34,2,2921,2,6,5,0,1.4,91.3,2,3,Manchester City,Premier League,7.26
Phil Foden ,Attaking Midfielder,171,70,22,10,1844,11,5,1,0,1.4,86.1,0.6,3,Manchester City,Premier League,7.13
Ilkay Gundogan ,Midfielder,180,80,27,4,2359,8,4,0,0,1.7,88.2,0.6,2,Manchester City,Premier League,7.11
Joao Cancelo ,Defender,182,74,16,1,1279,2,1,3,1,1,86.8,1.6,1,Manchester City,Premier League,7.04
Riyad Mahrez ,Attaking Midfielder,179,67,22,8,1924,5,10,2,0,1.4,86.8,0.3,2,Manchester City,Premier League,7.01
Bernardo Silva ,Midfielder,173,64,24,10,2203,4,5,5,0,0.7,89.1,0.1,0,Manchester City,Premier League,6.8
John Stones ,Defender,188,80,21,2,1849,2,2,2,0,0.5,93.2,1.4,0,Manchester City,Premier League,6.8
Ruben Dias ,Defender,186,76,22,4,1999,0,0,3,0,0.4,92.7,1.7,0,Manchester City,Premier League,6.79
Nathan Ake ,Defender,180,75,22,4,1876,1,0,2,0,0.3,91.1,1.4,0,Manchester City,Premier League,6.75
Shea Charles ,Midfielder,170,75,0,1,27,0,0,0,0,0,91.7,2,0,Manchester City,Premier League,6.71
Julian Alvarez ,Attaking Midfielder,170,71,13,18,1454,9,0,0,0,1.5,82.7,0.3,2,Manchester City,Premier League,6.7
Aymeric Laporte ,Defender,189,86,11,1,994,0,0,0,0,0.8,93.1,2,0,Manchester City,Premier League,6.69
Manuel Akanji ,Defender,186,91,24,5,2287,0,1,2,0,0.5,93.3,0.8,0,Manchester City,Premier League,6.62
Rico Lewis ,Defender,169,75,10,4,905,0,0,1,0,0.4,92.2,0,0,Manchester City,Premier League,6.56
Kyle Walker ,Defender,178,80,22,5,1957,0,0,3,0,0.2,89.5,0.9,0,Manchester City,Premier League,6.54
Ederson ,Goalkeeper,188,86,35,0,3150,0,1,3,0,0,84.4,0.3,0,Manchester City,Premier League,6.44
Cole Palmer ,Attaking Midfielder,182,74,2,12,359,0,1,1,0,0.8,88.6,0.1,0,Manchester City,Premier League,6.33
Kalvin Phillips ,Defender,178,72,2,10,291,0,0,1,0,0.5,92.6,0.4,0,Manchester City,Premier League,6.27
Sergio Gomez ,Defender,171,68,2,10,341,0,1,0,0,0.6,89.2,0.3,0,Manchester City,Premier League,6.24
Maximo Perrone ,Defender,177,68,0,1,18,0,0,0,0,0,90,0,0,Manchester City,Premier League,5.95
Gabriel Jesus ,Attaking Midfielder,175,73,24,2,2075,11,6,6,0,3,81.5,1.7,4,Arsenal,Premier League,7.42
Bukayo Saka ,Defender,178,72,37,1,3195,14,11,6,0,2.3,80.9,0.4,4,Arsenal,Premier League,7.4
Martin Odegaard ,Attaking Midfielder,178,68,37,0,3149,15,7,4,0,2.5,84,0.4,7,Arsenal,Premier League,7.29
Gabriel Martinelli ,Attaking Midfielder,178,75,34,2,2806,15,5,3,0,2.2,82.4,0.4,4,Arsenal,Premier League,7.25
Thomas Partey ,Defender,185,77,28,5,2487,3,0,5,0,0.8,88,1.1,1,Arsenal,Premier League,7.06
Granit Xhaka ,Defender,186,80,36,1,3004,7,7,5,0,1.1,86.5,1,1,Arsenal,Premier League,6.98
Gabriel Magalhaes ,Defender,190,78,38,0,3411,3,0,5,0,0.8,89.7,2.6,2,Arsenal,Premier League,6.86
Oleksandr Zinchenko ,Defender,175,64,26,1,2135,1,2,3,0,1,87.8,1.9,1,Arsenal,Premier League,6.86
Leandro Trossard ,Midfielder,172,61,10,10,930,1,10,0,0,0.9,84.3,0.1,2,Arsenal,Premier League,6.84
Ben White ,Defender,186,76,36,2,3068,2,5,5,0,0.3,86.6,0.9,0,Arsenal,Premier League,6.78
William Saliba ,Defender,192,92,27,0,2416,2,1,4,0,0.2,91,2,1,Arsenal,Premier League,6.77
Reiss Nelson ,Midfielder,175,71,0,11,204,3,2,0,0,1.1,90.7,0.2,1,Arsenal,Premier League,6.68
Aaron Ramsdale ,Goalkeeper,188,88,38,0,3420,0,0,1,0,0,63.4,0.2,1,Arsenal,Premier League,6.63
Jorginho ,Defender,180,65,9,5,855,0,1,0,0,0.4,87.6,0.7,0,Arsenal,Premier League,6.6
