Player_Name,Age,Height,Weight,Forward,Goalkeeper,Midfielder,Attaking_Midfielder,Center,Defender,Appearances,Substitute(Appearances),Playtime(Minutes),Goals,Assists,Yellow_Cards,Red_Cards,Set_piece_Goal,Passing_Percentage,AerialsWon,Man_Of_The_Matches,Rating
James Tavernier ,31,0.52,0.563636364,0,0,0,0,0,1,38,0,3357,16,9,6,0,2.2,82.1,1.4,7,7.64
Todd Cantwell ,25,0.42,0.472727273,0,0,1,1,1,0,15,1,1292,6,4,5,0,2.1,88.7,0.2,3,7.54
Tom Lawrence ,29,0.48,0.563636364,1,0,1,1,1,0,4,1,349,2,1,0,0,3.4,86.5,0.8,1,7.33
Ryan Kent ,26,0.32,0.381818182,0,0,1,1,1,0,28,1,2430,3,8,3,0,2.1,89.1,0.2,3,7.31
Malik Tillman ,21,0.62,0.490909091,0,0,1,1,1,0,22,6,1943,10,4,4,0,1.7,78.5,1.4,3,7.29
Borna Barisic ,30,0.6,0.654545455,0,0,0,0,0,1,27,3,2540,1,9,4,0,0.9,85.1,0.9,2,7.29
Fashion Sakala ,26,0.44,0.509090909,1,0,1,1,0,0,22,7,1812,12,7,1,0,3.3,80.5,1.2,5,7.27
Connor Goldson ,30,0.7,0.745454545,0,0,0,0,1,1,25,0,2250,2,2,4,0,1,89.2,2.6,0,7.14
Antonio-Mirko Colak ,29,0.62,0.709090909,1,0,0,0,0,0,18,7,1414,14,1,3,0,3.2,75.4,0.6,1,6.97
Robby McCrorie ,25,0.68,0.509090909,0,1,0,0,0,0,4,0,360,0,0,0,0,0,75.3,0,0,6.96
John Lundstram ,29,0.5,0.545454545,0,0,1,0,1,1,32,5,2807,5,0,7,1,1.5,89.9,1.1,2,6.9
Nicolas Raskin ,22,0.46,0.545454545,0,0,1,0,1,1,11,1,855,0,1,1,0,0.8,88.1,0.7,0,6.81
Alfredo Morelos ,27,0.42,0.636363636,1,0,0,0,0,0,15,17,1600,11,5,6,1,2.6,80.8,0.9,2,6.8
John Souttar ,26,0.6,0.563636364,0,0,0,0,1,1,8,4,759,1,0,1,0,0.3,86.7,3.3,0,6.79
Ben Davies ,27,0.58,0.545454545,0,0,0,0,1,1,25,2,2073,0,1,2,0,0.3,87.5,2.4,0,6.75
Ryan Jack ,31,0.52,0.509090909,0,0,1,0,1,1,19,7,1637,1,2,5,0,0.8,90.5,0.3,0,6.71
Rabbi Matondo ,22,0.38,0.4,1,0,1,1,0,0,9,10,862,0,4,0,0,0.9,75,0.5,1,6.7
Ridvan Yilmaz ,22,0.36,0.363636364,0,0,1,0,0,1,8,1,582,0,2,1,0,0.7,84.6,0.4,0,6.66
Ianis Hagi ,24,0.52,0.509090909,0,0,1,1,1,0,3,5,275,1,0,1,0,0.5,81.3,0.1,0,6.58
James Sands ,22,0.6,0.727272727,0,0,1,0,1,1,10,7,921,0,0,3,0,0.3,88.8,2.3,0,6.48
Leon King ,19,0.38,0.563636364,0,0,0,0,1,1,9,6,820,0,0,3,0,0.1,88,1.3,0,6.46
Glen Kamara ,27,0.5,0.618181818,0,0,1,0,1,0,12,10,1039,1,0,1,0,0.1,89.4,0.6,0,6.46
Kemar Roofe ,30,0.44,0.381818182,1,0,1,1,1,0,0,3,42,1,0,0,0,1.3,66.7,0.3,0,6.46
Adam Devine ,20,0.38,0.563636364,0,0,0,0,0,1,3,3,313,0,0,0,0,0,79.3,0.8,1,6.45
Steven Davis ,38,0.34,0.472727273,0,0,1,0,1,0,3,5,360,1,0,1,0,0.9,90.2,0.5,0,6.43
Scott Arfield ,34,0.44,0.472727273,0,0,1,0,1,0,7,24,1045,5,1,2,0,0.9,79.7,0.1,0,6.42
Allan McGregor ,41,0.54,0.545454545,0,1,0,0,0,0,24,0,2160,0,0,1,0,0,83.8,0.2,0,6.41
Jon McLaughlin ,35,0.7,0.690909091,0,1,0,0,0,0,10,0,900,0,0,0,0,0,81,0.1,0,6.31
Scott Wright ,25,0.38,0.381818182,0,0,1,1,1,0,5,18,625,0,1,1,0,0.5,80.1,0.2,0,6.3
Alex Lowry ,20,0.48,0.563636364,0,0,1,0,0,0,1,4,86,0,0,0,0,0.8,84.7,0.2,0,6.26
Charlie McCann ,21,0.34,0.563636364,0,0,1,0,0,0,1,0,90,0,0,0,0,0,84.3,0,0,6.15
Zak Lovelace ,17,0.38,0.563636364,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,6.12
Bailey Rice ,16,0.38,0.563636364,1,0,0,0,0,0,0,1,2,0,0,0,0,0,100,0,0,6.04
Arron Lyall ,19,0.38,0.563636364,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6.03
Robbie Ure ,19,0.38,0.563636364,1,0,0,0,0,0,0,2,2,0,0,0,0,0,75,0,0,6.02
Ross McCausland ,20,0.38,0.563636364,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,5.87
Jota ,24,0.38,0.290909091,0,0,1,1,0,0,26,7,2193,11,11,1,0,2.4,79.5,0.2,5,7.48
Carl Starfelt ,28,0.58,0.709090909,0,0,0,0,1,1,26,2,2393,3,1,3,0,0.8,91.5,4.6,2,7.21
Matt O'Riley ,22,0.38,0.563636364,0,0,1,0,1,0,32,6,2528,3,12,3,0,1.8,83.8,0.6,3,7.19
Josip Juranovic ,27,0.34,0.436363636,0,0,1,0,0,1,9,1,871,1,1,0,0,0.9,85.5,0.3,0,7.18
Greg Taylor ,25,0.38,0.327272727,0,0,1,0,0,1,28,3,2428,3,4,3,0,0.7,84.8,1.8,4,7.15
Alistair Johnston ,24,0.48,0.6,0,0,1,0,1,1,14,0,1234,1,1,1,0,0.5,86.4,1.4,0,7.13
Reo Hatate ,25,0.3,0.472727273,0,0,1,0,1,1,29,3,2239,6,8,0,0,1.8,82.5,0.7,4,7.13
Callum McGregor ,30,0.44,0.418181818,0,0,1,0,1,0,31,0,2762,4,1,3,1,1,92.1,0.4,2,7.1
